Requester ID,Issue,Times Reached Out,Ticket IDs
43000028498324,missing parts,50,304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715; 304715
42915384278804,where can i see the orion product in person before purchasing,50,303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436; 303436
please inform the sender and destroy all copies of the message. The organization accepts no liability for any damage caused by transmittance of this email. Thank you.,disclosure,100,The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged; The information contained in this email may be confidential and/or legally privileged
42999886370708,abandoned call from: +1 (954) 927-0104,50,304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813; 304813
43001785657108,abandoned call from: caller +1 (401) 200-6020,50,304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809; 304809
42777144708500,missing part from desk 120610-2,50,302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117; 302117
42968812340628,replacement part,50,304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291; 304291
43002361165204,missing parts,50,304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763; 304763
43004150276372,abandoned call from: caller +1 (419) 371-8186,50,304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797; 304797
43000004267156,need to replace misplaced parts,50,304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716; 304716
