Hour,Total Calls,Answered,Abandoned,Voicemail,Outside Business Hours
12:00 AM,0,0,0,0,0
1:00 AM,0,0,0,0,0
2:00 AM,0,0,0,0,0
3:00 AM,0,0,0,0,0
4:00 AM,0,0,0,0,0
5:00 AM,1,0,1,0,1
6:00 AM,0,0,0,0,0
7:00 AM,1,0,1,0,1
8:00 AM,11,6,5,0,0
9:00 AM,15,8,7,0,0
10:00 AM,25,14,11,0,0
11:00 AM,30,18,12,0,0
12:00 PM,27,9,18,0,0
1:00 PM,21,11,10,0,0
2:00 PM,22,9,13,0,0
3:00 PM,27,10,17,0,0
4:00 PM,13,6,7,0,0
5:00 PM,10,7,3,0,0
6:00 PM,9,7,2,0,0
7:00 PM,6,0,6,0,6
8:00 PM,3,1,2,0,3
9:00 PM,0,0,0,0,0
10:00 PM,0,0,0,0,0
11:00 PM,0,0,0,0,0
