ERP,SalesID,Date,Key_Accounts,CustomerName,Country,ItemNumber,LifeCycle,Pillar,SubPillar,InvoiceAmount,InvoiceQuantity,Sales price
Bestar,1662624,2025-01-13,Amazon,AMAZON CANADA  (VENDOR),CAN,110402-1117,Active,BBF,Desking,165.0464568,1,165.0464568
Bestar,1688658,2025-06-02,Amazon,AMAZON CANADA  (VENDOR),CAN,110402-1117,Active,BBF,Desking,173.0120657,1,173.0120657
Bestar,1685446,2025-05-08,Amazon,AMAZON CANADA  (VENDOR),CAN,110522-000032,Active,BBF,Hutches,183.9057971,1,183.9057971
Bestar,1685021,2025-05-05,Amazon,AMAZON CANADA  (VENDOR),CAN,110523-1118,End of life,BBF,Hutches,271.6231884,1,271.6231884
Bestar,1673238,2025-02-26,Amazon,AMAZON CANADA  (VENDOR),CAN,110611-1132,Active,BBF,Desking,119.2088407,1,119.2088407
Bestar,1673239,2025-02-26,Amazon,AMAZON CANADA  (VENDOR),CAN,110611-1132,Active,BBF,Desking,119.2088407,1,119.2088407
Bestar,1673240,2025-02-26,Amazon,AMAZON CANADA  (VENDOR),CAN,110611-1132,Active,BBF,Desking,119.2088407,1,119.2088407
Bestar,1673241,2025-02-26,Amazon,AMAZON CANADA  (VENDOR),CAN,110611-1132,Active,BBF,Desking,119.2088407,1,119.2088407
Bestar,1673242,2025-02-26,Amazon,AMAZON CANADA  (VENDOR),CAN,110611-1132,Active,BBF,Desking,119.2088407,1,119.2088407
Bestar,1685445,2025-05-08,Amazon,AMAZON CANADA  (VENDOR),CAN,110611-1132,Active,BBF,Desking,122.7246377,1,122.7246377
Bestar,1698303,2025-08-21,Amazon,AMAZON CANADA  (VENDOR),CAN,110611-1132,Active,BBF,Desking,122.6713023,1,122.6713023
Bestar,1699661,2025-09-02,Amazon,AMAZON CANADA  (VENDOR),CAN,110611-1132,Active,BBF,Desking,123.2426139,1,123.2426139
Bestar,1703953,2025-09-29,Amazon,AMAZON CANADA  (VENDOR),CAN,110611-1132,Active,BBF,Desking,121.4833943,1,121.4833943
Bestar,1712124,2025-11-27,Amazon,AMAZON CANADA  (VENDOR),CAN,110620-1132,Active,BBF,Filing & Storage,130.212766,1,130.212766
Bestar,1704083,2025-09-30,Amazon,AMAZON CANADA  (VENDOR),CAN,110885-17,Active,BBF,Desking,344.0284054,1,344.0284054
Bestar,1712814,2025-12-01,Amazon,AMAZON CANADA  (VENDOR),CAN,110890-32,End of life,BBF,Desking,774.9695973,1,774.9695973
Bestar,1667001,2025-01-28,Amazon,AMAZON CANADA  (VENDOR),CAN,110891-32,Active,BBF,Desking,382.4497768,1,382.4497768
Bestar,1700455,2025-09-08,Amazon,AMAZON CANADA  (VENDOR),CAN,115420-000047,Obsolete,BBF,Desking,345.1659556,1,345.1659556
Bestar,1695779,2025-07-29,Amazon,AMAZON CANADA  (VENDOR),CAN,115420-000052,End of life,BBF,Desking,348.3143608,1,348.3143608
Bestar,1699851,2025-09-02,Amazon,AMAZON CANADA  (VENDOR),CAN,116162-000047,End of life,Bestar,Closet,188.2185999,1,188.2185999
Bestar,1694042,2025-07-14,Amazon,AMAZON CANADA  (VENDOR),CAN,116164-000017,Active,Bestar,Closet,382.1543408,1,382.1543408
Bestar,1702408,2025-09-17,Amazon,AMAZON CANADA  (VENDOR),CAN,116164-000017,Active,Bestar,Closet,377.6285384,1,377.6285384
